PRISM Time Series Data
Location:  Lat: 35.5308   Lon: -113.4259   Elev: 4931ft
"Climate variables: ppt,tmin,tmean,tmax"
Spatial resolution: 4km
Period: 1991-10 - 2022-09
Dataset: AN81m
PRISM day definition: 24 hours ending at 1200 UTC on the day shown
Grid Cell Interpolation: Off
Time series generated: 2023-Mar-12
Details: http://www.prism.oregonstate.edu/documents/PRISM_datasets.pdf
Date,ppt (inches),tmin (degrees F),tmean (degrees F),tmax (degrees F)
2005-02,2.97,32.8,42.4,51.9
2005-03,0.27,32.9,45.8,58.7
2005-04,0.95,36.3,51.6,66.9
2005-05,0.00,47.7,63.5,79.2
2005-06,0.40,53.7,69.7,85.8
2005-07,0.86,63.6,80.0,96.4
2005-08,2.26,59.8,73.8,87.9
2005-09,0.00,53.8,69.3,84.8
2005-10,1.56,44.9,59.2,73.6
2005-11,0.11,36.1,50.8,65.5
2005-12,0.00,28.5,42.9,57.4
2006-01,0.00,26.5,41.4,56.3
2006-02,0.05,29.4,45.2,61.0
2006-03,1.34,29.4,42.2,55.0
2006-04,0.59,37.4,53.0,68.6
2006-05,0.09,49.8,66.7,83.5
2006-06,0.51,58.8,75.8,92.9
2006-07,0.84,64.7,79.3,94.0
2006-08,1.01,60.9,75.6,90.3
2006-09,1.09,49.4,65.9,82.4
2006-10,0.92,40.5,55.9,71.3
2006-11,0.03,35.9,50.6,65.3
2006-12,0.34,26.4,40.6,54.7
2007-01,0.01,23.1,36.8,50.5
2007-02,0.24,29.4,43.3,57.1
2007-03,0.49,36.2,51.0,65.8
2007-04,0.05,40.4,55.8,71.1
2007-05,0.00,49.1,65.6,82.1
2007-06,0.00,56.3,73.7,91.0
2007-07,2.81,64.8,80.0,95.2
2007-08,1.71,63.6,77.4,91.2
2007-09,1.04,56.0,70.2,84.3
2007-10,0.01,43.1,58.5,73.9
2007-11,0.00,38.7,53.8,68.8
2007-12,2.14,24.8,37.0,49.1
2008-01,1.31,24.1,36.2,48.4
2008-02,0.90,27.6,41.0,54.4
2008-03,0.10,32.3,47.7,63.1
2008-04,0.00,36.0,53.0,69.9
2008-05,0.22,43.2,58.9,74.6
2008-06,0.03,55.5,73.2,90.9
2008-07,1.10,63.3,78.1,92.8
2008-08,1.98,62.7,77.4,92.0
2008-09,0.36,55.9,71.2,86.5
2008-10,0.00,44.3,60.6,76.9
2008-11,0.96,37.5,51.5,65.6
2008-12,2.12,27.1,39.4,51.7
2009-01,0.07,30.9,43.9,56.9
2009-02,1.45,28.9,41.9,54.9
2009-03,0.09,31.6,47.1,62.6
2009-04,0.39,36.0,51.5,67.0
2009-05,0.04,51.8,68.0,84.1
2009-06,0.10,52.7,68.0,83.3
2009-07,1.01,64.2,79.6,95.1
2009-08,0.43,60.3,76.5,92.8
2009-09,0.38,56.6,72.0,87.5
2009-10,0.00,40.2,55.2,70.3
2009-11,0.04,35.4,50.8,66.3
2009-12,2.03,24.7,36.8,48.8
2010-01,3.03,27.1,40.3,53.5
2010-02,1.16,28.6,40.8,52.9
2010-03,0.94,30.8,44.5,58.1
2010-04,0.19,34.7,49.7,64.8
2010-05,0.00,41.3,56.9,72.6
2010-06,0.06,54.5,71.3,88.1
2010-07,2.00,64.9,79.8,94.6
2010-08,1.23,61.5,75.8,90.1
2010-09,0.20,55.2,72.1,88.9
2010-10,2.43,45.3,58.8,72.2
2010-11,0.59,31.8,45.3,58.9
2010-12,3.32,31.9,43.7,55.4
2011-01,0.05,25.8,40.1,54.5
2011-02,2.12,24.8,37.8,50.8
2011-03,0.27,33.0,47.1,61.1
2011-04,0.16,37.4,52.8,68.2
2011-05,0.09,42.2,57.5,72.8
2011-06,0.00,53.0,70.1,87.2
2011-07,0.87,61.5,76.6,91.7
2011-08,0.53,64.5,79.3,94.0
2011-09,1.13,56.5,71.3,86.1
2011-10,0.73,43.8,59.4,75.1
2011-11,0.77,32.8,45.8,58.7
2011-12,1.36,25.6,38.1,50.6
2012-01,0.00,27.9,42.9,58.0
2012-02,0.43,27.9,41.7,55.4
2012-03,0.92,31.2,46.2,61.3
2012-04,0.32,40.2,55.5,70.8
2012-05,0.00,47.7,64.8,81.9
2012-06,0.00,56.6,74.0,91.5
2012-07,2.57,62.4,76.3,90.3
2012-08,2.17,62.8,76.5,90.3
2012-09,0.68,57.2,71.3,85.4
2012-10,0.24,43.8,60.2,76.6
2012-11,0.00,35.4,51.2,67.0
2012-12,0.59,27.7,39.6,51.5
2013-01,0.25,22.4,36.2,50.0
2013-02,0.20,25.3,38.9,52.5
2013-03,0.16,35.2,50.5,65.8
2013-04,0.04,38.7,54.8,71.0
2013-05,0.12,46.8,63.1,79.4
2013-06,0.01,58.1,75.5,92.9
2013-07,2.40,64.9,78.6,92.3
2013-08,2.18,61.6,75.4,89.3
2013-09,2.07,54.7,67.7,80.7
2013-10,0.17,39.6,54.8,69.9
2013-11,0.96,35.7,48.6,61.6
2013-12,0.11,26.1,39.8,53.4
2014-01,0.00,30.9,46.0,61.1
2014-02,0.14,31.6,45.7,59.9
2014-03,0.27,34.8,49.3,63.9
2014-04,0.36,39.4,54.7,70.0
2014-05,0.00,47.1,62.7,78.2
2014-06,0.00,56.3,73.1,89.9
2014-07,1.79,64.0,77.9,91.8
2014-08,1.85,60.0,72.8,85.7
2014-09,3.13,58.0,71.1,84.2
2014-10,0.14,47.8,62.4,76.9
2014-11,0.00,36.5,50.2,63.9
2014-12,1.72,31.8,42.5,53.2
2015-01,1.20,30.0,43.1,56.3
2015-02,0.52,34.4,49.3,64.2
2015-03,1.32,37.3,51.9,66.5
2015-04,0.31,38.7,53.9,69.2
2015-05,0.77,44.0,58.2,72.4
2015-06,0.71,58.9,74.9,91.0
2015-07,1.29,60.9,75.0,89.1
2015-08,1.49,63.7,77.2,90.8
2015-09,0.36,58.7,72.6,86.6
2015-10,1.93,49.1,61.6,74.0
2015-11,0.40,31.7,44.6,57.5
2015-12,0.33,26.0,38.7,51.5
2016-01,1.20,26.5,39.2,52.0
2016-02,0.32,31.3,47.3,63.4
2016-03,0.07,34.2,49.9,65.7
2016-04,1.40,38.8,53.3,67.9
2016-05,0.60,45.4,59.9,74.3
2016-06,0.28,60.7,77.2,93.7
2016-07,0.55,64.1,79.2,94.3
2016-08,3.28,61.2,74.6,88.0
2016-09,0.73,54.1,67.9,81.7
2016-10,0.39,48.2,62.4,76.5
2016-11,0.63,37.9,51.2,64.5
2016-12,2.87,29.1,41.2,53.3
2017-01,1.30,28.2,37.8,47.4
2017-02,1.29,33.8,44.8,55.7
2017-03,0.21,36.5,51.8,67.0
2017-04,0.20,38.6,54.3,69.9
2017-05,0.29,46.0,61.6,77.2
2017-06,0.00,60.1,76.5,93.0
2017-07,2.96,65.1,78.9,92.8
2017-08,1.10,62.7,76.2,89.7
2017-09,1.74,54.8,68.4,81.9
2017-10,0.00,45.9,61.7,77.6
2017-11,0.00,40.7,54.4,68.1
2017-12,0.00,32.8,47.0,61.1
2018-01,0.83,31.9,46.0,60.0
2018-02,0.68,28.6,42.2,55.9
2018-03,0.70,33.0,46.3,59.5
2018-04,0.00,43.8,59.4,74.9
2018-05,0.08,49.4,64.4,79.4
2018-06,0.05,58.7,75.2,91.7
2018-07,1.37,65.1,79.4,93.6
2018-08,1.19,63.9,77.7,91.6
2018-09,0.32,59.1,73.7,88.4
2018-10,1.23,43.7,56.2,68.8
2018-11,0.36,34.3,48.0,61.7
2018-12,0.10,30.7,42.4,54.1
2019-01,1.89,28.8,40.1,51.3
2019-02,3.09,24.8,35.7,46.6
2019-03,0.42,34.1,46.4,58.6
2019-04,0.43,41.1,56.2,71.3
2019-05,1.12,41.8,55.2,68.6
2019-06,0.07,56.1,71.4,86.7
2019-07,0.08,64.4,78.5,92.5
2019-08,0.68,65.0,79.1,93.2
2019-09,0.44,57.0,70.7,84.4
2019-10,0.00,40.8,56.2,71.5
2019-11,3.26,37.7,50.9,64.1
2019-12,1.49,28.0,39.0,50.1
2020-01,0.05,28.4,41.3,54.2
2020-02,0.57,28.4,42.6,56.7
2020-03,2.28,34.0,45.0,56.0
2020-04,0.49,40.3,54.3,68.3
2020-05,0.00,51.4,66.8,82.1
2020-06,0.00,57.5,72.8,88.2
2020-07,0.15,65.3,79.8,94.3
2020-08,0.00,67.6,82.1,96.6
2020-09,0.06,59.5,74.4,89.4
2020-10,0.00,50.3,65.7,81.2
2020-11,0.20,37.8,51.2,64.7
2020-12,0.03,28.4,42.0,55.6
2021-01,0.41,26.3,39.6,52.9
2021-02,0.08,28.4,42.4,56.4
2021-03,0.45,29.8,43.5,57.2
2021-04,0.28,42.7,57.3,71.9
2021-05,0.00,50.0,65.0,80.0
2021-06,0.09,62.7,78.1,93.5
2021-07,2.23,65.7,79.3,92.8
2021-08,0.95,64.7,77.9,91.1
2021-09,0.51,59.3,72.9,86.4
2021-10,0.47,41.4,55.3,69.2
2021-11,0.00,40.8,54.9,69.0
2021-12,2.12,31.8,42.6,53.4
2022-01,0.09,26.4,40.7,55.1
2022-02,0.15,25.4,40.7,56.0
2022-03,0.31,32.4,47.2,61.9
2022-04,0.06,42.3,56.6,70.9
2022-05,0.00,48.8,63.8,78.9
2022-06,0.21,59.7,74.9,90.0
2022-07,0.99,66.2,79.2,92.2
2022-08,3.08,62.2,74.9,87.7
2022-09,1.05,60.3,73.1,85.9
